PWNETWPG,PAGEMIEG,PATTCRU,PATTSITC,PATTSKP,PEDUCMIE,PEFATINC,PFMTYPG,PFTENUR,PLFFPTME,PNBEARG,PPVRES,PWAPRVAL,PWASTDEP,PWATFS,PWDPRMOR,PWDSLOAN,PWDSTCRD,PWDSTLOC,DTI,Liquidity,Behavior Score,FSI
1310500.0,6,4,3,2,9,101700,4,1,3,1,12,320000,37000,92500,0,0,0,0,0.0,1.2733529990167158,0,0.5093411996066863
2041000.0,6,4,3,2,4,73825,1,1,3,1,48,240000,100000,95000,0,0,0,0,0.0,2.6413816457839485,0,1.0565526583135794
3635500.0,4,4,3,2,3,275400,3,2,1,2,35,700000,7250,0,60000,0,0,24000,0.30501089324618735,0.026325344952795933,0,0.19353667392883078
354000.0,6,4,2,2,3,64425,2,3,3,0,48,0,9500,105000,0,0,0,0,0.0,1.7772603802871556,0,0.7109041521148622
418500.0,5,4,3,2,2,10925,1,1,3,0,48,360000,5500,36000,0,0,0,0,0.0,3.7986270022883297,0,1.519450800915332
241500.0,5,4,2,2,9,123275,4,2,2,9,46,270000,39000,0,230000,0,0,0,1.8657473129182722,0.3163658487122288,0,1.245994727235855
962500.0,4,4,3,2,4,228175,4,1,1,2,48,350000,31000,80000,0,0,0,0,0.0,0.4864687191848362,0,0.1945874876739345
2416750.0,6,4,2,2,4,82000,4,1,3,2,59,1550000,360000,0,0,0,0,92500,1.1280487804878048,4.390243902439025,0,2.432926829268293
217650.0,4,3,2,1,1,84675,3,2,1,2,24,240000,50,0,95000,0,1000,0,1.133746678476528,0.000590493061706525,1,0.6804842043105994
799500.0,6,4,3,2,4,74400,2,1,3,0,10,230000,26000,57500,0,0,0,0,0.0,1.1223118279569892,0,0.44892473118279574
1621600.0,4,4,1,2,4,170725,3,2,1,3,35,1050000,1500,1750,575000,0,3000,12000,3.4558500512520136,0.019036462146727193,0,2.081124615609899
189750.0,5,4,3,2,3,66275,1,3,1,1,35,0,6750,7500,0,0,0,0,0.0,0.21501320256506978,0,0.08600528102602792
862500.0,5,3,2,2,2,73775,1,1,1,1,24,260000,4750,8000,0,0,0,4100,0.05557438156557099,0.17282277194171466,0,0.10247373771602845
605475.0,6,3,2,2,3,44875,1,1,2,1,59,250000,300,350,0,0,14000,0,0.31197771587743733,0.014484679665738161,0,0.19298050139275766
891000.0,5,4,3,2,3,141550,2,1,1,1,47,380000,77500,155000,0,0,0,0,0.0,1.6425291416460615,0,0.6570116566584246
2420175.0,5,4,3,2,4,186050,2,1,1,2,35,700000,12000,55000,0,0,325,0,0.0017468422467078742,0.36011824778285406,0,0.14509540446116634
641300.0,4,3,3,2,2,82650,2,2,1,2,12,310000,2900,0,145000,0,0,4100,1.8039927404718694,0.03508771929824561,0,1.0964307320024198
620750.0,3,3,2,2,3,154025,3,2,1,1,48,410000,45000,1000,350000,0,1000,0,2.2788508359032624,0.29865281610128225,0,1.4867716279824703
4755.0,5,4,3,2,3,18000,1,3,2,1,35,0,5,0,0,0,0,0,0.0,0.0002777777777777778,0,0.00011111111111111112
1758500.0,4,4,3,1,4,142175,3,1,1,3,12,310000,430000,10500,0,0,0,0,0.0,3.0982943555477402,1,1.2393177422190962
818800.0,6,3,2,2,2,99050,2,2,1,9,47,290000,1800,0,195000,0,15500,44000,2.569409389197375,0.01817264008076729,0,1.548914689550732
849005.0,5,4,2,2,4,89750,2,2,2,2,12,350000,20000,105000,290000,0,0,0,3.231197771587744,1.392757660167131,0,2.4958217270194987
250.0,1,3,3,2,1,153550,9,3,1,3,10,0,0,0,0,0,0,0,0.0,0.0,0,0.0
